NO LOAD			Charger			Bulb
8.52, 53.69, 6.30			10.07, 62.28, 6.18			12.92, 68.99, 5.34
8.49, 55.29, 6.51			10.75, 58.52, 5.44			14.26, 63.68, 4.46
8.12, 58.57, 7.21			12.38, 59.54, 4.81			12.98, 67.47, 5.20
8.40, 49.46, 5.89			13.64, 67.74, 4.97			12.62, 58.91, 4.67
8.47, 53.11, 6.27			12.31, 63.30, 5.14			13.57, 68.61, 5.06
8.39, 51.91, 6.19			13.34, 74.16, 5.56			13.21, 66.84, 5.06
8.04, 43.49, 5.41			13.04, 59.52, 4.56			12.69, 61.63, 4.86
8.58, 50.52, 5.89			12.59, 69.67, 5.53			12.72, 68.57, 5.39
8.52, 47.10, 5.53			13.17, 56.08, 4.26			12.75, 70.39, 5.52
7.85, 50.37, 6.42			12.82, 62.53, 4.88			13.57, 64.05, 4.72
8.33, 51.66, 6.20			13.67, 70.30, 5.14			13.84, 74.57, 5.39
8.66, 53.98, 6.23			13.41, 68.23, 5.09			12.73, 75.87, 5.96
8.29, 56.82, 6.85			12.27, 67.37, 5.49			12.86, 70.28, 5.47
7.83, 50.55, 6.46			12.53, 72.94, 5.82			13.15, 64.38, 4.90
8.08, 52.31, 6.47			12.06, 53.82, 4.46			13.03, 61.75, 4.74
7.99, 56.23, 7.04			13.58, 62.60, 4.61			14.46, 89.69, 6.20
7.93, 47.78, 6.03			13.00, 65.58, 5.05			12.53, 69.34, 5.53
8.57, 49.71, 5.80			13.49, 73.27, 5.43			11.85, 63.78, 5.38
7.45, 51.04, 6.85			12.93, 62.53, 4.84			13.72, 72.74, 5.30
8.03, 53.89, 6.71			13.13, 64.60, 4.92			14.26, 69.68, 4.89
8.18, 49.77, 6.08			11.98, 63.27, 5.28			12.59, 65.41, 5.20
8.51, 56.57, 6.65			12.67, 58.69, 4.63			12.48, 61.88, 4.96
8.43, 52.26, 6.20			14.30, 76.88, 5.38			14.13, 66.85, 4.73
8.17, 50.08, 6.13			13.40, 71.56, 5.34			12.32, 51.20, 4.15
7.72, 47.08, 6.10			12.74, 63.67, 5.00			13.41, 65.96, 4.92
8.06, 58.18, 7.22			12.41, 59.02, 4.76			14.02, 70.76, 5.05
8.66, 53.90, 6.23			12.88, 62.65, 4.86			13.61, 65.64, 4.82
7.69, 52.97, 6.89			12.96, 56.10, 4.33			13.45, 68.32, 5.08
8.44, 76.39, 9.06			13.03, 63.63, 4.88			12.93, 63.08, 4.88
8.02, 54.03, 6.74			12.43, 66.26, 5.33			13.09, 58.35, 4.46
8.39, 75.25, 8.97			13.39, 76.39, 5.70			13.48, 62.72, 4.65
8.14, 54.13, 6.65			12.52, 58.15, 4.64			12.60, 73.78, 5.85
8.02, 50.91, 6.34			13.11, 66.83, 5.10			13.01, 71.47, 5.50
7.89, 54.09, 6.86			13.35, 69.85, 5.23			13.45, 71.12, 5.29
8.01, 44.04, 5.50			12.90, 55.94, 4.34			13.06, 68.45, 5.24
8.65, 55.19, 6.38			12.74, 58.31, 4.58			13.48, 62.35, 4.62
8.16, 52.42, 6.43			12.74, 62.46, 4.90			12.87, 62.20, 4.83
7.88, 46.89, 5.95			12.81, 62.10, 4.85			12.99, 52.71, 4.06
8.64, 56.61, 6.55			13.82, 62.51, 4.52			14.22, 70.92, 4.99
7.51, 49.53, 6.60			13.43, 59.09, 4.40			12.37, 58.29, 4.71
8.10, 54.98, 6.79			13.56, 60.22, 4.44			13.26, 65.99, 4.98
8.43, 51.30, 6.09			12.51, 56.73, 4.54			12.66, 52.28, 4.13
8.58, 55.91, 6.51			12.50, 52.90, 4.23			12.57, 56.62, 4.50
9.02, 55.42, 6.14			13.05, 70.84, 5.43			13.91, 64.97, 4.67
8.45, 52.52, 6.21			12.82, 57.62, 4.49			12.85, 71.11, 5.53
8.33, 51.91, 6.23			13.03, 58.60, 4.50			13.19, 73.34, 5.56
8.23, 47.45, 5.77			12.21, 65.64, 5.38			12.88, 73.46, 5.70
8.07, 47.10, 5.84			12.23, 55.32, 4.52			14.06, 68.73, 4.89
8.26, 54.80, 6.64			12.16, 70.02, 5.76			14.27, 58.86, 4.12
8.02, 58.14, 7.25			13.29, 68.03, 5.12			13.35, 61.85, 4.63
8.24, 51.14, 6.20			13.44, 59.77, 4.45			14.25, 73.52, 5.16
8.72, 52.90, 6.07			13.16, 57.66, 4.38			12.71, 62.14, 4.89
8.42, 49.14, 5.84			12.57, 71.42, 5.68			12.88, 61.94, 4.81
8.46, 49.97, 5.91			13.03, 61.61, 4.73			13.75, 63.73, 4.63
8.47, 55.01, 6.49			11.66, 57.54, 4.93			13.48, 65.15, 4.83
8.54, 53.07, 6.21			11.96, 64.16, 5.36			13.95, 69.46, 4.98
8.44, 55.38, 6.56			11.37, 65.14, 5.73			13.37, 65.97, 4.94
8.58, 68.41, 7.97			10.36, 61.62, 5.95			12.93, 66.66, 5.16
7.99, 51.17, 6.40			11.55, 51.62, 4.47			13.79, 73.11, 5.30
8.16, 52.59, 6.44			12.89, 61.39, 4.76			13.08, 72.13, 5.51
8.20, 48.69, 5.94			10.58, 52.11, 4.92			13.67, 64.21, 4.70
8.50, 48.28, 5.68			11.18, 62.37, 5.58			13.41, 68.20, 5.08
8.62, 48.47, 5.63			10.71, 58.93, 5.50			13.89, 65.08, 4.69
8.24, 50.86, 6.17			13.12, 62.81, 4.79			12.55, 65.91, 5.25
7.74, 48.83, 6.31			12.38, 62.78, 5.07			13.17, 62.78, 4.77
8.43, 50.56, 6.00			12.95, 59.85, 4.62			13.08, 63.26, 4.84
8.18, 47.66, 5.83			12.41, 68.64, 5.53			12.60, 52.14, 4.14
8.35, 47.75, 5.72			12.67, 54.88, 4.33			13.32, 58.74, 4.41
8.14, 52.41, 6.44			12.48, 61.65, 4.94			12.68, 57.11, 4.51
8.03, 45.24, 5.64			13.13, 59.37, 4.52			12.85, 67.82, 5.28
8.46, 55.53, 6.57			12.79, 62.15, 4.86			12.32, 50.41, 4.09
8.81, 57.75, 6.56			12.28, 66.77, 5.44			15.33, 68.53, 4.47
8.32, 63.17, 7.59			12.61, 52.46, 4.16			13.34, 68.73, 5.15
7.94, 50.59, 6.37			12.57, 62.91, 5.01			13.08, 67.39, 5.15
8.56, 50.42, 5.89			12.77, 66.41, 5.20			13.72, 71.82, 5.24
7.52, 45.69, 6.08			12.51, 55.30, 4.42			13.14, 66.21, 5.04
8.79, 52.51, 5.97			12.29, 47.90, 3.90			12.25, 60.37, 4.93
8.23, 56.19, 6.82			12.28, 58.12, 4.73			14.42, 67.54, 4.68
8.39, 53.01, 6.32			12.57, 57.32, 4.56			13.09, 71.27, 5.45
8.38, 49.92, 5.96			13.46, 66.30, 4.93			12.59, 54.04, 4.29
8.10, 64.60, 7.98			12.65, 61.56, 4.87			13.63, 70.87, 5.20
8.23, 52.21, 6.34			12.68, 60.84, 4.80			13.72, 59.80, 4.36
8.93, 59.41, 6.65			12.55, 59.32, 4.73			13.80, 75.29, 5.46
8.91, 52.84, 5.93			11.72, 58.77, 5.01			13.85, 66.88, 4.83
8.10, 54.48, 6.73			13.79, 77.47, 5.62			13.52, 74.54, 5.51
8.04, 52.27, 6.50			13.41, 73.12, 5.45			13.58, 78.56, 5.79
8.29, 52.01, 6.28			12.73, 60.36, 4.74			14.02, 63.06, 4.50
8.17, 50.17, 6.14			12.88, 63.55, 4.93			12.82, 63.66, 4.96
8.06, 48.56, 6.03			12.93, 59.51, 4.60			12.62, 68.52, 5.43
8.66, 55.94, 6.46			12.06, 52.95, 4.39			14.45, 66.68, 4.62
7.97, 50.45, 6.33			12.62, 88.74, 7.03			13.22, 66.47, 5.03
8.28, 50.35, 6.08			12.50, 53.48, 4.28			13.03, 71.29, 5.47
8.50, 58.50, 6.89			12.57, 60.86, 4.84			13.39, 64.88, 4.84
8.44, 54.47, 6.45			13.07, 64.05, 4.90			12.45, 71.45, 5.74
8.60, 52.57, 6.12			12.48, 60.38, 4.84			12.50, 57.05, 4.56
8.08, 51.12, 6.32			11.73, 60.27, 5.14			13.13, 75.88, 5.78
8.02, 47.58, 5.93			12.50, 72.49, 5.80			13.33, 66.93, 5.02
8.23, 47.11, 5.72			11.89, 44.55, 3.75			14.02, 66.06, 4.71
8.46, 54.37, 6.43			12.52, 58.71, 4.69			13.33, 66.70, 5.00
8.37, 49.78, 5.95			12.38, 56.78, 4.58			12.79, 61.80, 4.83
8.76, 59.34, 6.78			12.46, 63.75, 5.12			13.47, 61.95, 4.60
8.71, 58.67, 6.73			11.94, 64.21, 5.38			13.72, 76.28, 5.56
8.55, 49.99, 5.84			12.56, 61.01, 4.86			12.75, 59.60, 4.67
8.42, 49.61, 5.89			13.25, 61.97, 4.68			13.01, 59.12, 4.55
7.92, 55.86, 7.06			12.09, 75.81, 6.27			12.61, 63.33, 5.02
8.44, 57.62, 6.82			11.71, 47.56, 4.06			14.00, 62.59, 4.47
8.22, 53.29, 6.48			12.82, 57.84, 4.51			13.92, 65.82, 4.73
8.10, 51.77, 6.39			12.53, 65.46, 5.22			13.34, 71.69, 5.37
8.14, 52.72, 6.47			11.92, 60.88, 5.11			13.08, 57.57, 4.40
8.07, 47.84, 5.93			12.53, 74.21, 5.92			13.23, 57.06, 4.31
9.00, 57.50, 6.39			12.57, 64.04, 5.10			12.76, 59.00, 4.63
7.56, 53.79, 7.12			12.84, 59.51, 4.63			13.75, 66.32, 4.82
7.96, 49.16, 6.18			13.02, 75.40, 5.79			12.97, 60.45, 4.66
8.47, 49.81, 5.88			13.34, 67.81, 5.08			12.73, 59.35, 4.66
8.34, 55.30, 6.63			13.10, 62.33, 4.76			13.44, 65.36, 4.86
8.68, 49.67, 5.72			12.99, 63.41, 4.88			13.21, 64.03, 4.85
8.57, 53.55, 6.25			12.33, 53.97, 4.38			13.42, 71.66, 5.34
8.51, 54.45, 6.40			12.44, 73.62, 5.92			13.17, 65.89, 5.00
8.25, 53.45, 6.48			13.08, 63.37, 4.85			12.41, 56.60, 4.56
8.06, 52.73, 6.54			12.85, 57.67, 4.49			13.84, 72.30, 5.22
7.46, 51.02, 6.84			12.75, 72.55, 5.69			12.58, 74.00, 5.88
8.22, 52.30, 6.36			12.36, 62.79, 5.08			12.32, 69.15, 5.61
8.78, 52.54, 5.98			11.87, 53.61, 4.52			13.14, 54.70, 4.16
8.29, 54.43, 6.57			12.90, 72.47, 5.62			12.92, 53.33, 4.13
8.20, 45.71, 5.58			12.85, 69.91, 5.44			13.07, 58.48, 4.48
8.48, 56.04, 6.61			13.15, 62.26, 4.74			13.56, 58.44, 4.31
7.98, 50.75, 6.36			12.26, 60.38, 4.93			12.08, 65.79, 5.45
8.01, 49.80, 6.21			12.37, 57.46, 4.64			12.73, 70.47, 5.54
8.78, 55.87, 6.37			12.90, 58.41, 4.53			13.64, 73.27, 5.37
8.71, 55.84, 6.41			12.78, 60.92, 4.77			13.42, 60.60, 4.51
7.78, 53.74, 6.91			12.79, 59.09, 4.62			13.08, 69.16, 5.29
8.68, 51.33, 5.91			12.54, 59.98, 4.78			13.90, 63.98, 4.60
8.75, 55.76, 6.38			13.01, 72.93, 5.61			12.57, 60.06, 4.78
7.72, 46.03, 5.96			13.06, 59.43, 4.55			12.92, 83.49, 6.46
8.36, 48.66, 5.82			13.40, 67.91, 5.07			14.29, 64.63, 4.52
8.02, 44.77, 5.58			12.58, 56.12, 4.46			13.37, 65.47, 4.90
8.52, 55.93, 6.57			12.61, 66.04, 5.24			13.65, 62.33, 4.57
8.13, 51.56, 6.34			13.22, 66.80, 5.05			12.38, 53.22, 4.30
9.03, 55.75, 6.17			12.13, 53.77, 4.43			13.23, 57.00, 4.31
8.69, 47.91, 5.51			12.08, 64.48, 5.34			13.34, 64.80, 4.86
8.52, 47.81, 5.61			11.86, 53.04, 4.47			14.05, 73.34, 5.22
8.20, 46.87, 5.72			12.54, 60.95, 4.86			13.95, 62.52, 4.48
9.04, 54.11, 5.98			13.49, 70.89, 5.26			12.77, 60.18, 4.71
8.30, 47.86, 5.76			12.34, 65.54, 5.31			12.28, 68.02, 5.54
8.64, 51.88, 6.00			12.31, 56.74, 4.61			13.63, 64.45, 4.73
7.56, 47.23, 6.25			12.69, 63.18, 4.98			12.62, 58.22, 4.61
8.54, 51.57, 6.04			12.53, 54.56, 4.35			13.01, 62.58, 4.81
7.93, 60.83, 7.67			12.14, 55.02, 4.53			14.12, 71.57, 5.07
8.49, 52.90, 6.23			12.84, 58.10, 4.53			13.09, 63.88, 4.88
8.73, 50.19, 5.75			12.25, 57.63, 4.70			13.42, 63.66, 4.74
8.65, 51.73, 5.98			12.69, 56.59, 4.46			12.56, 60.07, 4.78
8.01, 48.74, 6.08			11.39, 60.21, 5.29			13.09, 62.66, 4.79
8.48, 54.96, 6.48			11.43, 58.25, 5.10			14.39, 102.18, 7.10
8.98, 56.75, 6.32			11.53, 58.04, 5.03			12.76, 63.65, 4.99
8.51, 57.54, 6.76			11.76, 57.56, 4.90			12.15, 57.85, 4.76
8.66, 52.45, 6.05			13.12, 59.40, 4.53			12.06, 61.11, 5.07
8.01, 51.18, 6.39			10.97, 67.34, 6.14			12.78, 66.35, 5.19
8.48, 54.12, 6.39			11.87, 61.10, 5.15			13.12, 63.92, 4.87
8.57, 46.97, 5.48			12.59, 69.95, 5.55			11.99, 64.46, 5.38
9.40, 54.83, 5.83			11.95, 56.64, 4.74			13.41, 74.07, 5.52
8.16, 52.37, 6.42			12.06, 54.58, 4.52			13.51, 66.74, 4.94
8.37, 47.33, 5.65			12.49, 68.51, 5.48			12.86, 72.29, 5.62
8.82, 49.07, 5.56			12.25, 60.16, 4.91			14.12, 67.15, 4.76
8.21, 48.01, 5.85			11.86, 68.07, 5.74			13.24, 64.24, 4.85
7.72, 55.06, 7.13			11.38, 59.03, 5.19			14.15, 80.89, 5.72
8.95, 60.42, 6.75			12.19, 54.52, 4.47			13.63, 68.20, 5.00
8.47, 46.79, 5.52			11.94, 60.30, 5.05			12.88, 64.53, 5.01
8.47, 49.64, 5.86			12.33, 65.92, 5.35			13.06, 58.63, 4.49
9.05, 49.46, 5.47			11.68, 52.01, 4.45			13.32, 68.19, 5.12
8.01, 53.39, 6.67			11.03, 54.92, 4.98			12.03, 55.44, 4.61
9.09, 56.79, 6.25			11.43, 51.32, 4.49			13.72, 78.45, 5.72
8.60, 49.04, 5.70			11.46, 54.08, 4.72			11.77, 61.33, 5.21
8.14, 46.79, 5.75			11.89, 58.49, 4.92			13.35, 66.78, 5.00
8.48, 52.48, 6.19			12.02, 55.73, 4.64			13.41, 62.48, 4.66
7.89, 43.59, 5.53			12.03, 55.05, 4.58			14.33, 68.98, 4.82
7.80, 50.53, 6.48			11.73, 56.43, 4.81			14.04, 67.23, 4.79
8.29, 57.13, 6.89			12.25, 63.59, 5.19			14.04, 66.60, 4.74
8.71, 51.89, 5.96			11.87, 54.20, 4.57			12.97, 64.94, 5.01
8.09, 49.13, 6.08			11.76, 59.53, 5.06			12.60, 64.57, 5.13
8.38, 50.86, 6.07			11.57, 57.57, 4.98			12.62, 71.71, 5.68
8.08, 56.19, 6.95			11.72, 59.49, 5.08			13.80, 64.60, 4.68
8.86, 50.85, 5.74			11.99, 53.05, 4.42			13.82, 68.83, 4.98
8.92, 53.56, 6.00			12.36, 57.07, 4.62			13.34, 58.88, 4.41
8.60, 51.83, 6.03			12.64, 56.47, 4.47			13.20, 68.55, 5.19
8.59, 42.22, 4.92			12.62, 58.25, 4.62			12.90, 67.17, 5.21
8.58, 53.61, 6.25			10.99, 61.33, 5.58			12.91, 70.43, 5.45
